Band,SZA,VZA,RAA,R_atm
B1,30,80,110,0.208
B1,30,80,120,0.209
B1,30,80,130,0.211
B1,30,80,140,0.215
B1,30,80,150,0.219
B1,30,80,160,0.222
B1,30,80,170,0.225
B1,30,80,180,0.225
B1,40,0,0,0.093
B1,40,0,10,0.093
B1,40,0,20,0.093
B1,40,0,30,0.093
B1,40,0,40,0.093
B1,40,0,50,0.093
B1,40,0,60,0.093
B1,40,0,70,0.093
B1,40,0,80,0.093
B1,40,0,90,0.093
B1,40,0,100,0.093
B1,40,0,110,0.093
B1,40,0,120,0.093
B1,40,0,130,0.093
B1,40,0,140,0.093
B1,40,0,150,0.093
B1,40,0,160,0.093
B1,40,0,170,0.093
B1,40,0,180,0.093
B1,40,10,0,0.103
B1,40,10,10,0.103
B1,40,10,20,0.103
B1,40,10,30,0.102
B1,40,10,40,0.101
B1,40,10,50,0.1
B1,40,10,60,0.098
B1,40,10,70,0.097
B1,40,10,80,0.095
B1,40,10,90,0.093
B1,40,10,100,0.092
B1,40,10,110,0.09
B1,40,10,120,0.089
B1,40,10,130,0.088
B1,40,10,140,0.087
B1,40,10,150,0.086
B1,40,10,160,0.085
B1,40,10,170,0.085
B1,40,10,180,0.085
B1,40,20,0,0.115
B1,40,20,10,0.115
B1,40,20,20,0.114
B1,40,20,30,0.112
B1,40,20,40,0.11
B1,40,20,50,0.107
B1,40,20,60,0.104
B1,40,20,70,0.101
B1,40,20,80,0.098
B1,40,20,90,0.095
B1,40,20,100,0.092
B1,40,20,110,0.089
B1,40,20,120,0.087
B1,40,20,130,0.084
B1,40,20,140,0.083
B1,40,20,150,0.081
B1,40,20,160,0.08
B1,40,20,170,0.08
B1,40,20,180,0.08
B1,40,30,0,0.13
B1,40,30,10,0.129
B1,40,30,20,0.127
B1,40,30,30,0.125
B1,40,30,40,0.121
B1,40,30,50,0.117
B1,40,30,60,0.112
B1,40,30,70,0.107
B1,40,30,80,0.103
B1,40,30,90,0.098
